topic,topic_type,youtube_terms,match_mode,mfds_inci_terms,trend_use,note
백탁,attribute,백탁 | 하얗게 | 하얘,substring,,Y,백태·창백·유령·회끄무레는 실측 0건이라 제외
자극_눈시림,attribute,눈시림 | 눈 시림 | 눈따가 | 자극 | 따갑 | 붉어 | 뒤집 | 예민 | 트러블 | 알러지,substring,,Y,눈시려·눈아파·눈매움 0건 제외. '눈물'은 감동 댓글과 섞여 제외
발림성,attribute,발림성 | 발림 | 제형 | 텍스처,substring,,Y,'발림'은 '발림성'보다 17편 더 잡는다(발림이 좋다 등). 둘 다 유지
촉촉함_건조함,attribute,촉촉 | 수분 | 보습 | 건조,substring,,Y,'건조'는 댓글(89)이 영상(38)보다 많다. 불만은 댓글에 쌓인다
끈적임_유분감,attribute,끈적 | 유분 | 번들 | 기름,substring,,Y,미끌 0건 제외
밀림_들뜸,attribute,밀림 | 밀려 | 들뜸 | 뭉침,substring,,Y,'화장 궁합' 0건 제외
지속력_워터프루프,attribute,지속력 | 워터프루프 | 무너짐 | 재도포 | 땀에 | 방수,substring,,Y,'지속'만으로는 '지속적으로' 등 일반어에 걸려 제외
톤업_메이크업베이스,attribute,톤업 | 톤 업 | 메이크업베이스 | 피부톤 | 화이트닝,substring,,Y,'베이스'(83)는 단독으로 화장품 일반어라 제외
무기자차,formula,무기자차 | 징크 | 티타늄 | 미네랄 | ZnO | TiO2,boundary,산화아연 | 이산화티타늄 | Zinc Oxide | Titanium Dioxide,Y,"유튜브는 '무기자차', 식약처는 '산화아연'. 표기 겹침 0건 -> 매핑 필수"
유기자차,formula,유기자차 | 아보벤존 | 옥토크릴렌 | 화학적,substring,아보벤존 | 옥토크릴렌 | 에틸헥실메톡시신나메이트 | Avobenzone | Octocrylene,Y,케미컬·유비놀 0건 제외
혼합자차,formula,혼합자차,substring,,Y,19편뿐. 분기당 표본 부족 가능성 높음 -> 판정 시 확인
SPF_PA,spec,차단지수 | SPF | PA | UVA | UVB,boundary,,Y,경계 매칭 필수. 부분문자열은 coupang에 걸려 오탐 16%
성분_신제품,event,성분 | 신제품 | 출시 | 리뉴얼 | 신상,substring,,Y,'신제품'만은 3편뿐. 전용 검색어 추가 대상(UnitA 4.1)
추천_재구매,genre,재구매 | 품절 | 인생템 | 추천,substring,,N,'추천' 396/518=76%. 장르 표시일 뿐 주제가 아니다. 트렌드 판정 제외
선크림,product_category,선크림 | 썬크림 | 자외선차단제 | 선블록 | 선스틱 | 선쿠션 | 선세럼 | 선젤,substring,자외선차단제,N,481/518=93%. 판별력 없음. 다른 소스에서 문서 필터로만 사용
